Time interval: 40
Azimuth angle: 35
Type: Harpoon
8603.65 12287.28 1000.00
8598.14 12279.42 1000.00
8592.63 12271.55 1000.00
8587.13 12263.69 1000.00
8581.62 12255.83 1000.00
8576.11 12247.96 1000.00
8570.61 12240.10 1000.00
8565.10 12232.23 1000.00
8559.60 12224.37 1000.00
8554.09 12216.51 1000.00
8548.58 12208.64 1000.00
8543.08 12200.78 1000.00
8537.57 12192.91 1000.00
8532.06 12185.05 1000.00
8526.56 12177.19 1000.00
8521.05 12169.32 1000.00
8515.55 12161.46 1000.00
8510.04 12153.60 1000.00
8504.53 12145.73 1000.00
8499.03 12137.87 1000.00
8493.52 12130.00 1000.00
8488.01 12122.14 1000.00
8482.51 12114.28 1000.00
8477.00 12106.41 1000.00
8471.49 12098.55 1000.00
8465.99 12090.68 1000.00
8460.48 12082.82 1000.00
8454.98 12074.96 1000.00
8449.47 12067.09 1000.00
8443.96 12059.23 1000.00
8438.46 12051.36 1000.00
8432.95 12043.50 1000.00
8427.44 12035.64 1000.00
8421.94 12027.77 1000.00
8416.43 12019.91 1000.00
8410.92 12012.05 1000.00
8405.42 12004.18 1000.00
8399.91 11996.32 1000.00
8394.41 11988.45 1000.00
8388.90 11980.59 1000.00
8383.39 11972.73 1000.00
8377.89 11964.86 1000.00
8372.38 11957.00 1000.00
8366.87 11949.13 1000.00
8361.37 11941.27 1000.00
8355.86 11933.41 1000.00
8350.36 11925.54 1000.00
8344.85 11917.68 1000.00
8339.34 11909.82 1000.00
8333.84 11901.95 1000.00
8328.33 11894.09 1000.00
8322.82 11886.22 1000.00
8317.32 11878.36 1000.00
8312.72 11871.79 999.97
8308.58 11865.88 999.90
8304.43 11859.96 999.76
8300.29 11854.05 999.58
8296.15 11848.13 999.34
8292.01 11842.22 999.05
8287.87 11836.30 998.71
8283.73 11830.39 998.32
8279.58 11824.47 997.87
8275.44 11818.56 997.37
8271.30 11812.64 996.82
8267.16 11806.73 996.21
8263.02 11800.81 995.56
8258.88 11794.90 994.84
8254.74 11788.98 994.08
8250.59 11783.07 993.26
8246.45 11777.15 992.39
8242.31 11771.24 991.46
8238.17 11765.33 990.48
8234.03 11759.41 989.45
8229.89 11753.50 988.36
8225.75 11747.58 987.22
8221.60 11741.67 986.02
8217.46 11735.75 984.77
8213.32 11729.84 983.46
8209.18 11723.92 982.10
8205.04 11718.01 980.68
8200.90 11712.09 979.21
8196.75 11706.18 977.68
8192.61 11700.26 976.10
8188.47 11694.35 974.46
8184.33 11688.43 972.76
8180.19 11682.52 971.00
8176.05 11676.61 969.19
8171.91 11670.69 967.32
8167.76 11664.78 965.39
8163.62 11658.86 963.41
8159.48 11652.95 961.36
8155.34 11647.03 959.26
8151.20 11641.12 957.09
8147.06 11635.20 954.87
8142.91 11629.29 952.58
8138.77 11623.37 950.24
8134.63 11617.46 947.83
8130.49 11611.54 945.36
8126.35 11605.63 942.83
8122.21 11599.71 940.24
8118.07 11593.80 937.59
8113.92 11587.88 934.87
8109.78 11581.97 932.08
8105.64 11576.06 929.23
8101.50 11570.14 926.32
8097.36 11564.23 923.34
8093.22 11558.31 920.29
8089.08 11552.40 917.18
8084.93 11546.48 913.99
8080.79 11540.57 910.74
8076.65 11534.65 907.42
8072.51 11528.74 904.03
8068.37 11522.82 900.56
8064.23 11516.91 897.03
8060.08 11510.99 893.42
8055.94 11505.08 889.74
8051.80 11499.16 885.98
8047.66 11493.25 882.15
8043.52 11487.34 878.24
8039.38 11481.42 874.26
8035.24 11475.51 870.19
8031.09 11469.59 866.05
8026.95 11463.68 861.82
8022.81 11457.76 857.51
8018.67 11451.85 853.12
8014.53 11445.93 848.64
8010.39 11440.02 844.08
8006.25 11434.10 839.43
8002.10 11428.19 834.69
7997.96 11422.27 829.86
7993.82 11416.36 824.94
7989.68 11410.44 819.92
7985.54 11404.53 814.81
7981.40 11398.61 809.60
7977.25 11392.70 804.30
7973.11 11386.79 798.89
7968.97 11380.87 793.37
7964.83 11374.96 787.75
7960.69 11369.04 782.03
7956.55 11363.13 776.19
7952.41 11357.21 770.24
7948.26 11351.30 764.17
7944.12 11345.38 757.99
7939.98 11339.47 751.68
7935.84 11333.55 745.26
7931.70 11327.64 738.70
7927.56 11321.72 732.01
7923.41 11315.81 725.19
7919.27 11309.89 718.23
7915.13 11303.98 711.12
7910.99 11298.07 703.87
7906.85 11292.15 696.47
7902.71 11286.24 688.91
7898.57 11280.32 681.18
7894.42 11274.41 673.29
7890.28 11268.49 665.23
7886.14 11262.58 656.99
7882.00 11256.66 648.56
7877.86 11250.75 639.93
7873.72 11244.83 631.11
7869.58 11238.92 622.07
7865.43 11233.00 612.81
7861.29 11227.09 603.32
7857.15 11221.17 593.58
7853.01 11215.26 583.60
7848.87 11209.34 573.34
7844.73 11203.43 562.81
7840.58 11197.52 551.97
7836.44 11191.60 540.82
7832.30 11185.69 529.32
7828.16 11179.77 517.47
7824.02 11173.86 505.24
7820.63 11169.02 495.33
7816.49 11163.11 483.55
7812.35 11157.19 472.12
7808.21 11151.28 461.03
7804.07 11145.36 450.25
7799.93 11139.45 439.76
7795.78 11133.53 429.56
7791.64 11127.62 419.62
7787.50 11121.70 409.93
7783.36 11115.79 400.48
7779.22 11109.88 391.27
